TrialNumber,Trial,Reciprocate,Partner,ITI,cLeft,ISI,cRight,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,1,1,2,0,2,3,1.0,0.0,4.02744,3.0,3,7.03917,high,3.01173,-0.0117306,7.57526,10.7802,10.7875,12.8082,8.78077,12.8086,14.7738
2,2,0,2,3,3,3.5,0,1.0,1.0,14.7989,3.0,0,16.6588,low,1.85995,1.14005,17.1846,23.0417,23.0419,25.059,10.2602,25.0593,28.0387
3,3,0,2,4,3,2,0,1.0,2.0,28.0529,3.0,0,29.9628,low,1.90989,1.09011,30.4959,34.7934,34.7935,36.8057,8.75282,36.806,40.7993
4,4,0,2,2,0,0.5,3,1.0,3.0,40.8213,999.0,999,43.8331,999,0.0,0.0,43.8711,46.072,999.0,999.0,958.179,48.0857,50.0666
5,5,1,1,2,0,0.5,3,1.0,4.0,50.0799,2.0,0,50.8853,low,0.805366,2.19463,51.4159,55.3237,55.3239,57.3361,7.25619,57.3364,59.3173
6,6,0,1,4,3,0.5,0,1.0,5.0,59.3356,2.0,3,61.055,high,1.71937,1.28063,61.5876,64.5744,64.5798,66.5868,7.25119,66.5871,70.5804
7,7,1,3,2,3,0.5,0,1.0,6.0,70.5996,2.0,3,72.6756,high,2.07602,0.923982,73.2092,75.8531,75.8583,77.8811,7.28148,77.8814,79.8466
8,8,1,3,4,3,2,0,1.0,7.0,79.8623,2.0,3,81.4948,high,1.63251,1.36749,82.0229,86.617,86.6172,88.6293,8.76702,88.6296,92.6073
9,9,1,3,2,0,0.5,3,1.0,8.0,92.6304,3.0,3,93.9816,high,1.35116,1.64884,94.5029,97.88,97.8802,99.908,7.27763,99.9083,101.889
10,10,0,1,3,0,0.5,3,1.0,9.0,101.903,3.0,3,103.468,high,1.56567,1.43433,104.003,107.162,107.167,109.19,7.28738,109.19,112.155
11,11,1,2,2,3,0.5,0,1.0,10.0,112.179,2.0,3,113.905,high,1.72524,1.27476,114.44,117.428,117.433,119.44,7.26057,119.44,121.421
12,12,0,1,2,3,2,0,1.0,11.0,121.435,3.0,0,122.907,low,1.47253,1.52747,123.441,128.176,128.176,130.188,8.75346,130.189,132.185
13,13,1,1,4,0,0.5,3,1.0,12.0,132.203,2.0,0,133.744,low,1.54076,1.45924,134.268,137.442,137.442,139.47,7.26702,139.47,143.448
14,14,1,3,3,0,3.5,3,1.0,13.0,143.467,3.0,3,144.781,high,1.31402,1.68598,145.312,151.716,151.721,153.728,10.2618,153.729,156.724
15,15,0,3,4,3,2,0,1.0,14.0,156.747,2.0,3,158.218,high,1.47091,1.52909,158.744,163.509,163.514,165.522,8.77478,165.522,169.5
16,16,1,2,2,3,2,0,1.0,15.0,169.517,2.0,3,171.055,high,1.53847,1.46153,171.583,176.27,176.275,178.284,8.76685,178.284,180.265
17,17,1,1,4,0,3.5,3,1.0,16.0,180.286,3.0,3,181.792,high,1.50607,1.49393,182.316,188.548,188.554,190.561,10.275,190.561,194.523
18,18,0,3,4,0,0.5,3,1.0,17.0,194.543,2.0,0,196.263,low,1.71987,1.28013,196.793,199.78,199.78,201.792,7.24963,201.793,205.802
19,19,0,1,4,3,0.5,0,1.0,18.0,205.823,2.0,3,208.166,high,2.34352,0.656476,208.695,211.074,211.079,213.087,7.26399,213.087,217.065
20,20,0,2,4,0,2,3,1.0,19.0,217.089,3.0,3,218.536,high,1.44696,1.55304,219.069,223.835,223.84,225.847,8.75827,225.848,229.841
21,21,0,3,2,3,2,0,1.0,20.0,229.868,3.0,0,231.973,low,2.10504,0.894956,232.501,236.627,236.627,238.639,8.77084,238.64,240.62
22,22,1,2,4,0,2,3,1.0,21.0,240.645,2.0,0,243.31,low,2.66551,0.334493,243.845,247.393,247.393,249.405,8.76045,249.405,253.399
23,23,1,1,2,3,0.5,0,1.0,22.0,253.419,2.0,3,255.064,high,1.6445,1.3555,255.591,258.671,258.677,260.684,7.26462,260.684,262.665
24,24,0,3,2,0,0.5,3,1.0,23.0,262.692,3.0,3,264.016,high,1.32426,1.67574,264.545,267.938,267.943,269.95,7.25804,269.95,271.931
25,25,0,1,2,3,0.5,0,1.0,24.0,271.952,3.0,0,274.486,low,2.53414,0.465864,275.012,277.204,277.204,279.216,7.26431,279.217,281.213
26,26,0,3,4,3,0.5,0,1.0,25.0,281.231,999.0,999,284.239,999,0.0,0.0,284.267,286.47,999.0,999.0,717.769,288.499,292.476
27,27,0,1,4,0,0.5,3,1.0,26.0,292.497,3.0,3,293.992,high,1.49514,1.50486,294.528,297.749,297.754,299.761,7.26443,299.762,303.739
28,28,1,2,2,0,0.5,3,1.0,27.0,303.756,3.0,3,305.329,high,1.57279,1.42721,305.854,308.997,309.003,311.01,7.25382,311.01,313.007
29,29,1,2,2,0,0.5,3,1.0,28.0,313.021,3.0,3,314.515,high,1.49381,1.50619,315.042,318.264,318.264,320.276,7.25507,320.276,322.273
30,30,0,2,2,3,2,0,1.0,29.0,322.295,2.0,3,323.868,high,1.57242,1.42758,324.402,329.043,329.048,331.056,8.76038,331.056,333.037
31,31,1,1,2,3,0.5,0,1.0,30.0,333.05,2.0,3,334.488,high,1.43748,1.56252,335.01,338.294,338.299,340.306,7.25627,340.307,342.287
32,32,1,3,2,0,3.5,3,1.0,31.0,342.313,3.0,3,344.974,high,2.66118,0.338824,345.509,350.555,350.561,352.583,10.2704,352.584,354.565
33,33,0,3,4,3,3.5,0,1.0,32.0,354.587,2.0,3,355.944,high,1.35661,1.64339,356.475,362.848,362.853,364.86,10.2731,364.861,368.838
34,34,1,2,4,3,0.5,0,1.0,33.0,368.855,2.0,3,370.082,high,1.22639,1.77361,370.61,374.096,374.102,376.124,7.26932,376.125,380.102
35,35,1,3,3,0,3.5,3,1.0,34.0,380.128,3.0,3,382.118,high,1.98999,1.01001,382.653,388.386,388.391,390.398,10.2698,390.399,393.378
36,36,0,2,2,0,0.5,3,1.0,35.0,393.395,999.0,999,396.406,999,0.0,0.0,396.44,398.651,999.0,999.0,605.605,400.679,402.644
