Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,,
1,0,1.5,1,1,2.00,2,,
2,1.5,0,2,0,3.50,3,,
3,1.5,0,2,0,2.00,4,,
4,0,1.5,2,0,0.50,2,,
5,0,1.5,1,1,0.50,2,,
6,1.5,0,1,0,0.50,4,,
7,1.5,0,3,1,0.50,2,,
8,1.5,0,3,1,2.00,4,,
9,0,1.5,3,1,0.50,2,,
10,0,1.5,1,0,0.50,3,,
11,1.5,0,2,1,0.50,2,,
12,1.5,0,1,0,2.00,2,,
13,0,1.5,1,1,0.50,4,,
14,0,1.5,3,1,3.50,3,,
15,1.5,0,3,0,2.00,4,,
16,1.5,0,2,1,2.00,2,,
17,0,1.5,1,1,3.50,4,,
18,0,1.5,3,0,0.50,4,,
19,1.5,0,1,0,0.50,4,,
20,0,1.5,2,0,2.00,4,,
21,1.5,0,3,0,2.00,2,,
22,0,1.5,2,1,2.00,4,,
23,1.5,0,1,1,0.50,2,,
24,0,1.5,3,0,0.50,2,,
25,1.5,0,1,0,0.50,2,,
26,1.5,0,3,0,0.50,4,,
27,0,1.5,1,0,0.50,4,,
28,0,1.5,2,1,0.50,2,,
29,0,1.5,2,1,0.50,2,,
30,1.5,0,2,0,2.00,2,,
31,1.5,0,1,1,0.50,2,,
32,0,1.5,3,1,3.50,2,,
33,1.5,0,3,0,3.50,4,,
34,1.5,0,2,1,0.50,4,,
35,0,1.5,3,1,3.50,3,,
36,0,1.5,2,0,0.50,2,,
