Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,1.5,1,1,2,2
2,1.5,0,2,0,3.50E+00,6
3,1.5,0,2,0,2,4
4,0,1.5,2,0,5.00E-01,2
5,0,1.5,1,1,5.00E-01,2
6,0,1.5,1,0,5.00E-01,6
7,1.5,0,3,1,5.00E-01,2
8,1.5,0,3,1,2,4
9,0,1.5,3,1,5.00E-01,2
10,0,1.5,1,0,5.00E-01,6
11,1.5,0,2,1,5.00E-01,2
12,1.5,0,1,0,2,2
13,0,1.5,1,1,5.00E-01,4
14,1.5,0,3,1,3.50E+00,6
15,1.5,0,3,0,2,4
16,1.5,0,2,1,2,2
17,0,1.5,1,1,3.50E+00,4
18,1.5,0,3,0,5.00E-01,8
19,1.5,0,1,0,5.00E-01,8
20,0,1.5,2,0,2,4
21,1.5,0,3,0,2,2
22,0,1.5,2,1,2,4
23,1.5,0,1,1,5.00E-01,2
24,0,1.5,3,0,5.00E-01,2
25,1.5,0,1,0,5.00E-01,2
26,1.5,0,3,0,5.00E-01,4
27,0,1.5,1,0,5.00E-01,4
28,0,1.5,2,1,5.00E-01,2
29,0,1.5,2,1,5.00E-01,2
30,1.5,0,2,0,2,2
31,1.5,0,1,1,5.00E-01,2
32,0,1.5,3,1,3.50E+00,2
33,1.5,0,3,0,3.50E+00,8
34,1.5,0,2,1,5.00E-01,4
35,0,1.5,3,1,3.50E+00,6
36,0,1.5,2,0,5.00E-01,2
,28.5,25.5,,,,
