subnum,run,avg_comp,avg_stranger,avg_friend,avg_comp_logRT,avg_stranger_logRT,avg_friend_logRT,avg_comp_RT,avg_stranger_RT,avg_friend_RT,misses
101,1,1.000000,2.400000,1.500000,0.451289,0.375856,0.451066,1.624270,1.493800,1.623455,2.000000
101,2,1.636364,2.500000,1.750000,0.379158,0.379506,0.392298,1.498724,1.488459,1.508662,1.000000
101,3,2.250000,3.000000,1.750000,0.341312,0.305564,0.423701,1.431528,1.383245,1.568495,1.000000
102,1,0.600000,0.000000,1.750000,0.309207,0.374735,0.360760,1.369349,1.485353,1.439250,2.000000
102,2,0.750000,0.000000,0.500000,0.393979,0.255070,0.303815,1.499385,1.298263,1.357797,0.000000
102,3,0.750000,0.583333,1.000000,0.326541,0.365830,0.438019,1.397803,1.446171,1.567089,0.000000
103,1,0.545455,0.000000,1.000000,0.421538,0.405976,0.441100,1.552165,1.529297,1.594433,1.000000
103,2,0.750000,0.250000,0.272727,0.418604,0.399584,0.540802,1.595112,1.527984,1.768513,1.000000
103,3,0.000000,0.000000,0.300000,0.299188,0.283660,0.348815,1.364761,1.335465,1.458789,3.000000
104,1,0.818182,0.750000,1.500000,0.247409,0.129940,0.222451,1.313493,1.148137,1.262428,1.000000
104,2,1.750000,0.250000,2.250000,0.282669,0.245642,0.267314,1.357033,1.290051,1.317895,0.000000
104,3,0.750000,1.333333,1.500000,0.387110,0.338877,0.320757,1.507735,1.450582,1.405185,0.000000
105,1,1.500000,1.200000,2.250000,0.366176,0.446888,0.539271,1.552144,1.616196,1.785704,4.000000
105,2,0.750000,1.250000,1.250000,0.199822,0.218059,0.121375,1.307071,1.342490,1.176042,0.000000
105,3,1.636364,1.909091,1.250000,0.248037,0.243967,0.321622,1.345065,1.321089,1.434797,2.000000
106,1,1.636364,2.000000,2.250000,0.723958,0.661854,0.708294,2.097035,1.947530,2.047948,1.000000
106,2,2.000000,2.250000,1.750000,0.616097,0.622654,0.660149,1.865598,1.868398,1.950032,0.000000
106,3,1.500000,1.750000,2.000000,0.689618,0.754026,0.592330,2.014135,2.145890,1.818150,0.000000
107,1,1.750000,2.000000,1.500000,0.447900,0.568514,0.484974,1.590426,1.811308,1.665960,0.000000
107,2,2.250000,1.500000,1.250000,0.344827,0.403243,0.412120,1.433119,1.508386,1.562167,2.000000
107,3,2.250000,2.000000,2.181818,0.500898,0.557591,0.489499,1.671327,1.794157,1.673507,2.000000
108,1,2.250000,1.909091,2.750000,0.510791,0.505960,0.455611,1.707679,1.772437,1.625984,1.000000
108,2,2.400000,2.181818,2.250000,0.402243,0.551425,0.450937,1.577180,1.904768,1.627009,3.000000
108,3,2.750000,1.833333,2.727273,0.335148,0.544516,0.399038,1.426373,1.755864,1.555370,1.000000
109,1,2.000000,2.100000,2.454545,0.512429,0.510448,0.519985,1.756356,1.701143,1.727415,3.000000
109,2,3.000000,2.727273,3.000000,0.444622,0.417717,0.594635,1.623028,1.599564,1.908081,6.000000
109,3,3.000000,3.000000,2.700000,0.361137,0.504867,0.599960,1.461727,1.690498,1.918003,8.000000
